City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Upington,ZA,-28.4478,21.2561,50.38,34,0,2.3,clear sky
276,Kawalu,ID,-7.3817,108.2082,79.2,81,98,5.75,overcast clouds
277,Lorengau,PG,-2.0226,147.2712,85.03,72,86,12.46,overcast clouds
278,Arraial Do Cabo,BR,-22.9661,-42.0278,68.13,86,100,4.9,overcast clouds
279,Mount Hagen,PG,-5.8581,144.2274,77.76,44,40,11.5,haze
280,Mount Isa,AU,-20.7333,139.5,85.77,48,40,11.5,scattered clouds
281,Hobyo,SO,5.3505,48.5268,80.08,73,70,15.37,broken clouds
282,Talnakh,RU,69.4865,88.3972,33.21,97,98,2.46,overcast clouds
283,Severo-Kurilsk,RU,50.6789,156.125,45.34,69,97,24.18,overcast clouds
284,Bengkulu,ID,-3.8004,102.2655,82.56,69,100,8.23,overcast clouds
285,Kaohsiung,TW,22.6163,120.3133,87.75,72,75,12.66,broken clouds
286,Quatre Cocos,MU,-20.2078,57.7625,76.08,70,87,11.36,overcast clouds
287,Kathu,TH,7.9178,98.3332,85.82,99,66,6.02,broken clouds
288,Kahului,US,20.8947,-156.47,78.82,81,75,12.66,broken clouds
289,Hofn,IS,64.2539,-15.2082,44.17,67,53,10.78,broken clouds
290,Oranjemund,NA,-28.55,16.4333,53.58,90,11,9.93,few clouds
291,Pisco,PE,-13.7,-76.2167,59.05,82,20,8.05,few clouds
292,Hastings,GB,50.8552,0.5729,63.28,86,93,23.31,overcast clouds
293,Samana,DO,19.2056,-69.3369,78.4,89,57,5.41,broken clouds
294,Vanimo,PG,-2.6741,141.3028,86.29,68,97,10.85,overcast clouds
295,Airai,TL,-8.9266,125.4092,71.35,73,89,1.83,overcast clouds
296,Luderitz,NA,-26.6481,15.1594,53.74,78,18,15.35,few clouds
297,Champerico,GT,14.3,-91.9167,80.44,77,100,2.66,overcast clouds
298,Harper,LR,4.375,-7.7169,76.53,90,100,5.08,overcast clouds
299,Taseyevo,RU,57.2169,94.8978,41.34,67,100,7.43,overcast clouds
300,Woodstock,CA,43.1334,-80.7497,50.94,82,5,3.36,clear sky
301,Ust-Nera,RU,64.5667,143.2,19.36,82,83,6.08,broken clouds
302,Oksfjord,NO,70.2396,22.3479,48.38,87,99,11.72,overcast clouds
303,Yarmouth,US,41.7057,-70.2286,60.94,96,100,12.66,mist
304,Baykit,RU,61.67,96.37,34.36,89,100,7.25,light snow
305,Roald,NO,62.5833,6.1333,52.32,71,0,10.36,clear sky
306,Mogadishu,SO,2.0371,45.3438,78.67,78,75,13.8,broken clouds
307,Chiredzi,ZW,-21.05,31.6667,72.21,67,2,9.64,clear sky
308,Lasa,IT,46.6166,10.7002,55.33,51,40,1.34,scattered clouds
