City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Shinuhayr,AM,68.85,clear sky,39.4367,46.3179,Wings of Tatev Guesthouse
391,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
392,Buraydah,SA,72.05,clear sky,26.326,43.975,Mövenpick Qassim
396,Itupiranga,BR,75.52,scattered clouds,-5.1347,-49.3267,Hotel Panorama
399,Moranbah,AU,80.98,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
400,Porto Novo,BJ,74.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
401,Miramar,US,77.0,scattered clouds,25.9873,-80.2323,Stadium Hotel
402,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,Alize Plage
404,Puerto Escondido,MX,78.76,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
407,Peto,MX,69.1,scattered clouds,20.1333,-88.9167,Hotel D'Rodi&Eve
408,Coahuayana,MX,75.74,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
409,Sorong,ID,82.36,broken clouds,-0.8833,131.25,Waigo Splash Hotel
410,Kirakira,SB,81.68,scattered clouds,-10.4544,161.9205,SanBiz Lodge
411,Nelson Bay,AU,63.0,light rain,-32.7167,152.15,Mantra Nelson Bay
412,Awjilah,LY,69.55,clear sky,29.1081,21.2869,المنزل
413,Rabat,MA,68.04,scattered clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
416,Weligama,LK,82.85,overcast clouds,5.9667,80.4167,Weligama Bay Resort
417,Teknaf,BD,86.94,scattered clouds,20.8624,92.3058,Forestry Guesthouse
420,Kang,BW,74.68,clear sky,-23.6752,22.7876,Kang Ultra Stop
421,Kutum,SD,73.42,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
422,Pauini,BR,73.62,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
424,Sitka,US,60.69,overcast clouds,57.0531,-135.33,Westmark Sitka
425,Quepem,IN,83.97,light rain,15.2167,74.0667,Peace Valley
426,West Bay,KY,81.07,broken clouds,19.3667,-81.4167,Calypso Cove
427,Lompoc,US,60.53,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
428,Pemba,MZ,74.1,few clouds,-12.974,40.5178,Guesthouse Samotina
429,Samarai,PG,79.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
431,Grand Gaube,MU,75.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
432,Maragogi,BR,74.03,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
434,Yola,NG,76.82,scattered clouds,9.2,12.4833,Muna Hotel
435,Thinadhoo,MV,81.27,overcast clouds,0.5333,72.9333,
437,Bara,NG,72.1,broken clouds,10.3744,10.7288,
438,Bassar,TG,70.45,overcast clouds,9.25,0.7833,Hôtel KYRIAD
440,Penzance,GB,61.48,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
442,Juegang,CN,67.91,overcast clouds,32.3174,121.1855,Rudong Y Hotel
444,Teluk Nibung,ID,77.43,overcast clouds,3.001,99.8164,Hotel Assyifa
446,Grand Forks,US,61.74,scattered clouds,47.9417,-97.4337,Warrior Inn
447,Sechura,PE,61.14,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
448,Pennagaram,IN,78.19,broken clouds,12.1333,77.9,S.K lodge
451,Najran,SA,75.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
452,Bonthe,SL,76.26,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
454,Nantucket,US,62.71,mist,41.2835,-70.0995,Jared Coffin House
456,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
457,Liwale,TZ,69.03,broken clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
458,Srandakan,ID,83.23,overcast clouds,-7.9386,110.2506,Puri Brata
459,Korla,CN,63.28,clear sky,41.7597,86.1469,Gulisitan Hotel
460,Portland,US,60.75,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
461,Luau,AO,69.85,scattered clouds,-10.7073,22.2247,Kimbo Hotel
465,Moindou,NC,73.02,clear sky,-21.6924,165.677,Equi-lodge de Moindou
467,Kouroussa,GN,71.73,broken clouds,10.65,-9.8833,Hotel Tando Plus
469,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
470,Cabedelo,BR,74.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
472,Zhanaozen,KZ,62.6,clear sky,43.3,52.8,K.korabay 28A
474,Panzhihua,CN,83.53,scattered clouds,26.5851,101.7128,Electric Power Hotel
476,Kuah,MY,85.98,scattered clouds,6.3265,99.8432,Azio Hotel
477,Chapada Dos Guimaraes,BR,73.06,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
478,Antalaha,MG,72.37,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
479,Rincon,US,62.85,clear sky,32.296,-81.2354,Days Inn Rincon
480,Uttaradit,TH,84.36,broken clouds,17.6667,100.5,
481,Mitu,CO,71.47,overcast clouds,1.1983,-70.1733,
482,Isangel,VU,75.58,few clouds,-19.55,169.2667,Tanna Lodge
490,Seoul,KR,67.57,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
493,Algete,ES,64.8,clear sky,40.5971,-3.4974,Pensión la Imprenta
495,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
496,Harlingen,US,77.09,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
497,Caldwell,US,67.17,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
500,Kalmunai,LK,87.71,overcast clouds,7.4167,81.8167,VS Villa
501,Snyder,US,68.34,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
502,Port Hueneme,US,71.26,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
506,Umm Lajj,SA,84.45,clear sky,25.0213,37.2685,Moon light Furnished Units
507,Pitimbu,BR,73.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
511,Marsa Matruh,EG,73.6,few clouds,31.3525,27.2453,Beau Site
514,Iranshahr,IR,89.94,clear sky,27.2025,60.6848,نیک سرشت
515,Port Blair,IN,86.04,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
516,Chestermere,CA,60.33,few clouds,51.0334,-113.8187,The Shores
519,Rimini,IT,64.62,clear sky,44.0241,12.5186,La combriccola B&B
521,Gatak,ID,86.49,overcast clouds,-7.5908,110.7044,Griya Pakis Earth
522,Gewane,ET,80.53,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
523,Isiro,CD,65.66,overcast clouds,2.7739,27.616,Guest House Hewa Bora
524,Vaitape,PF,78.53,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
525,Canavieiras,BR,71.2,scattered clouds,-15.675,-38.9472,Bahiadomizil
528,Rodrigues Alves,BR,75.15,clear sky,-7.738,-72.6509,Pousada Aconchego
532,Arlit,NE,87.01,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
535,Santa Cruz,BO,74.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
538,Hwange,ZW,75.25,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
540,Mandapam,IN,83.37,moderate rain,9.2833,79.1167,Tanvi Chachaa Chalet
541,Mogok,MM,80.15,scattered clouds,22.9167,96.5,MOGOK HILL HOTEL
542,Ganzhou,CN,64.74,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
544,Yamada,JP,61.05,light rain,39.4667,141.95,Iroha-ya Inn
545,Los Llanos De Aridane,ES,73.15,clear sky,28.6585,-17.9182,Valle Aridane
546,Dosso,NE,78.48,overcast clouds,13.049,3.1937,Hotel Toubal
549,Glendive,US,62.19,few clouds,47.1053,-104.7125,Super 8 by Wyndham Glendive
552,Bubaque,GW,81.36,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
553,Mgandu,TZ,63.97,overcast clouds,-5.95,34.1333,
555,Shimoda,JP,73.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
556,Bismil,TR,68.11,broken clouds,37.8486,40.6658,Hotel Dolay
557,Marsh Harbour,BS,78.98,few clouds,26.5412,-77.0636,Abaco Beach Resort
562,Saraland,US,64.06,broken clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
563,Punta Gorda,US,74.05,few clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
564,Saquena,PE,78.04,broken clouds,-4.6667,-73.5167,
567,Gladstone,AU,73.33,overcast clouds,-23.85,151.25,Highpoint International Hotel
571,Umm Kaddadah,SD,81.12,overcast clouds,13.6017,26.6876,
572,Aransas Pass,US,75.97,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
573,Tabou,CI,76.17,light rain,4.423,-7.3528,hotêl doufoulougou
574,Lixourion,GR,67.21,scattered clouds,38.2019,20.4314,Hotel Summery
576,Alyangula,AU,85.23,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
577,Beloha,MG,76.33,clear sky,-25.1667,45.05,
579,Beni,CD,63.21,overcast clouds,0.5,29.4667,Albertine hotel
